id,sortOrder,arabic,arabicPlain,transliteration,translationEn,translationUr,wordType,gender,pluralForm,rootLetters,topicCategories,chapterIntroduced,frequencyInQuran,imageKey,suggestedFilename
cmq6hkx69002h145k9bkus3la,1,رَجُل,رجل,rajul,man,مرد,NOUN,MASCULINE,رِجَال,ر ج ل,people,1,73,images/words/cmq6hkx69002h145k9bkus3la.jpg,001-rajul.jpg
cmq6hkx69002i145kiywdi7ya,2,امْرَأَة,امراة,imra'a,woman,عورت,NOUN,FEMININE,نِسَاء,م ر أ,people,1,26,images/words/cmq6hkx69002i145kiywdi7ya.jpg,002-imra-a.jpg
cmq6hkx69002j145kbb7hxqph,3,وَلَد,ولد,walad,"boy, child",لڑکا، بچہ,NOUN,MASCULINE,أَوْلَاد,و ل د,people|family,1,100,images/words/cmq6hkx69002j145kbb7hxqph.jpg,003-walad.jpg
cmq6hkx69002k145kpxt87g6l,4,بِنْت,بنت,bint,"girl, daughter",لڑکی، بیٹی,NOUN,FEMININE,بَنَات,ب ن ت,people|family,1,18,images/words/cmq6hkx69002k145kpxt87g6l.jpg,004-bint.jpg
cmq6hkx69002l145k11laxd6n,5,نَاس,ناس,nās,"people, mankind",لوگ، انسان,NOUN,MASCULINE,,أ ن س,people,1,241,images/words/cmq6hkx69002l145k11laxd6n.jpg,005-n-s.jpg
cmq6hkx69002m145k2p2lr1fa,6,أَب,اب,ab,father,باپ,NOUN,MASCULINE,آبَاء,أ ب و,family,1,118,images/words/cmq6hkx69002m145k2p2lr1fa.jpg,006-ab.jpg
cmq6hkx69002n145kfinwht4j,7,أُمّ,ام,umm,mother,ماں,NOUN,FEMININE,أُمَّهَات,أ م م,family,1,113,images/words/cmq6hkx69002n145kfinwht4j.jpg,007-umm.jpg
cmq6hkx69002o145kvlgnecdj,8,أَخ,اخ,akh,brother,بھائی,NOUN,MASCULINE,إِخْوَة,أ خ و,family,1,96,images/words/cmq6hkx69002o145kvlgnecdj.jpg,008-akh.jpg
cmq6hkx69002p145kxk5heyus,9,أُخْت,اخت,ukht,sister,بہن,NOUN,FEMININE,أَخَوَات,أ خ و,family,1,30,images/words/cmq6hkx69002p145kxk5heyus.jpg,009-ukht.jpg
cmq6hkx69002q145klzasw0dw,10,ابْن,ابن,ibn,son,بیٹا,NOUN,MASCULINE,أَبْنَاء,ب ن و,family,1,162,images/words/cmq6hkx69002q145klzasw0dw.jpg,010-ibn.jpg
