filename,word_id,group,arabic,transliteration,english,urdu,type
ma-what-transparent.png,cmtrh9nn400029k5kel0kyfq9,Core 500 · Set 1,ما,mā,what; not,کیا، جو؛ نہیں,PARTICLE
la-no-transparent.png,cmtrh9nn400049k5k3xt96fjb,Core 500 · Set 1,لا,lā,"no, not",نہیں,PARTICLE
inna-indeed-transparent.png,cmtrh9nn400059k5k4zuregz9,Core 500 · Set 2,إِنَّ,inna,"indeed, truly",بےشک,PARTICLE
kana-be-transparent.png,cmtrh9nn400099k5kxsith6u4,Core 500 · Set 2,كانَ,kāna,to be,ہونا,VERB_PAST
li-for-transparent.png,cmtrh9nn4000a9k5kyocvd424,Core 500 · Set 3,لِ,li,"for, to, belonging to",کے لیے,PARTICLE
dha-this-transparent.png,cmtrh9nn4000b9k5kzvdutn7l,Core 500 · Set 3,ذا,dhā,this,یہ,PARTICLE
in-if-transparent.png,cmtrh9nn4000f9k5kdrxxdg5u,Core 500 · Set 4,إِن,in,if,اگر,PARTICLE
illa-except-transparent.png,cmtrh9nn4000g9k5k19cg15p5,Core 500 · Set 4,إِلَّا,illā,"except, unless",سوائے، مگر,PARTICLE
an-that-transparent.png,cmtrh9nn4000h9k5khcn4wmso,Core 500 · Set 4,أَن,an,"that, to (before a verb)",کہ,PARTICLE
amana-believe-transparent.png,cmtrh9nn4000i9k5kxvas0aqt,Core 500 · Set 4,آمَنَ,āmana,"to believe, to have faith",ایمان لانا,VERB_PAST
an-from-transparent.png,cmtrh9nn4000m9k5kmexw3y9m,Core 500 · Set 5,عَن,ʿan,"from, about, away from",سے، کے بارے میں,PARTICLE
qad-indeed-transparent.png,cmtrh9nn4000p9k5kyjlgsv91,Core 500 · Set 6,قَد,qad,"indeed, already",یقیناً، بےشک,PARTICLE
qawm-people-transparent.png,cmtrh9nn4000q9k5klxhix4is,Core 500 · Set 6,قَوْم,qawm,"people, folk, nation",قوم,NOUN
alima-know-transparent.png,cmtrh9nn4000r9k5keswcc4b5,Core 500 · Set 6,عَلِمَ,ʿalima,to know,جاننا,VERB_PAST
anna-that-transparent.png,cmtrh9nn4000t9k5k7r037m4z,Core 500 · Set 6,أَنَّ,anna,that,کہ,PARTICLE
lam-did-not-transparent.png,cmtrh9nn4000v9k5k5k56z0qq,Core 500 · Set 7,لَم,lam,did not,نہیں,PARTICLE
jaala-make-transparent.png,cmtrh9nn4000w9k5kvcdk3rul,Core 500 · Set 7,جَعَلَ,jaʿala,"to make, to place",بنانا، رکھنا,VERB_PAST
shay-thing-transparent.png,cmtrh9nn400139k5k28rk785x,Core 500 · Set 8,شَيْء,shayʾ,thing,چیز,NOUN
aw-or-transparent.png,cmtrh9nn400149k5knlr76mm0,Core 500 · Set 9,أَو,aw,or,یا,PARTICLE
bayn-between-transparent.png,cmtrh9nn400199k5kaefeajn6,Core 500 · Set 10,بَيْن,bayn,"between, among",درمیان,PARTICLE
ata-come-transparent.png,cmtrh9nn4001a9k5kzovkkf0f,Core 500 · Set 10,أَتَى,atā,"to come, to arrive",آنا,VERB_PAST
