scope,isInVocabularyWord,vocabId,vocabSortOrder,arPlain,arabic,transliteration,translationEn,translationUr,discoverType,discoverMentionCount,firstFixture,discoverImageUrl,vocabImageUrl,recommendedImageTarget
vocabulary_word_and_discover_card,yes,cmq6hkx69002x145ke9u8l9u2,17,باب,بَاب,bāb,door / gate,دروازہ,WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,,,images/words/cmq6hkx69002x145ke9u8l9u2.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6c00fs145kqnwaoder,480,بيت,بَيْت,bayt,house,گھر,WORD,4,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,https://cdn.warsh.app/images/discover/bayt.png,,images/words/cmq6hkx6c00fs145kqnwaoder.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69002h145k9bkus3la,1,رجل,رَجُل,rajul,man,آدمی / مرد,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,,,images/words/cmq6hkx69002h145k9bkus3la.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6b00bt145kk60go4nv,337,صراط,صِرَاط,ṣirāṭ,path / road,راستہ,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,,,images/words/cmq6hkx6b00bt145kk60go4nv.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69004c145ka2d03huy,68,قلم,قَلَم,qalam,pen,قلم,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,https://cdn.warsh.app/images/discover/qalam.png,,images/words/cmq6hkx69004c145ka2d03huy.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69003e145kplrd19hl,34,قمر,قَمَر,qamar,moon,چاند,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,,,images/words/cmq6hkx69003e145kplrd19hl.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69004d145k4wrt4ict,69,كتاب,كِتَاب,kitāb,book,کتاب,WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,https://cdn.warsh.app/images/discover/kitab.png,,images/words/cmq6hkx69004d145k4wrt4ict.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx690040145kzwqx38yv,56,مسجد,مَسْجِد,masjid,mosque,مسجد,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,https://cdn.warsh.app/images/discover/masjid.png,,images/words/cmq6hkx690040145kzwqx38yv.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69003o145knw1o7j9x,44,نور,نُور,nūr,light,روشنی / نور,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,,,images/words/cmq6hkx69003o145knw1o7j9x.jpg
discover_card_only,no,,,هذا,هَذَا,hādhā,this (m),یہ (مذکر),WORD,4,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,https://cdn.warsh.app/images/discover/hadha-pointing.png,,images/discover/هذا.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69002j145kbb7hxqph,3,ولد,وَلَد,walad,boy / child,لڑکا / بچہ,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,,,images/words/cmq6hkx69002j145kbb7hxqph.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx690036145kar6wgkbh,26,يوم,يَوْم,yawm,day,دن,WORD,5,warsh-backend/prisma/fixtures/chapter-01-lesson-01.json,,,images/words/cmq6hkx690036145kar6wgkbh.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69002m145k2p2lr1fa,6,أب,أَب,'ab,father,باپ,WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/words/cmq6hkx69002m145k2p2lr1fa.jpg
